阿,a,阿库,ak
歌尔,gor,德卡尔,decker
歌尔安,gorra,茨卡尔,cker
萨,sa,茨艾恩,tuen
查,za,茨科,kor
萨伊,say,茨塔,tta
萨吉,sazi,茨齐,ty
萨玛,sama,茨坦伊,tty
萨摩,samo,茨特,to
萨尔,sar,茨特尔,tto
西,si,迪恩,den
吉,zi,迪阿,dear
西亚,sha,迪伊,dey
西尤,shu,坦伊苏,cis
西由,sho,迪伊苏,dis
吉尔,jil,迪伊恩,din
苏,su,迪奥苏,deos
兹,zu,迪苏塔恩,destan
西,se,迪利阿,delia
杰,ze,坦恩,ten
西伊,sey,特,tor
西伊,say,德,dor
西萨,sesa,德尔,dorre
西苏,ces,特利,toli
西兹,sez,德恩,don
西摩,sem,纳,na
西尔,ser,纳尔茨,nart
西罗,cero,纳尔特,nert
索,so,纳尔德,nerd
索拉,sor,纳伊尔,nail
索伊,soy,纳苏,nas
达,da,纳茨库,nakk
塔伊,ti,纳弗,naf
塔拉,tar,纳尔库,narc
塔姆,tam,纳尔德,nald
达伊,die,纳恩,nan
塔奥,tao,尼尔,ny
达尔,dar,尼茨库,nick
齐,chi,内,ne
齐亚,cha,内伊尔,nail
齐尤,chur,内尔德,ned
齐由,chor,内科,neck
茨,tur,内苏,nes
茈,dur,内茨库,nack
坦,te,内尔,nel
迪伊,dey,诺,no
迪尔,del,诺阿,noir
坦奥,teo,诺尔,nor
特,to,诺尔茨,nert
德,do,诺尔特,nort
特德,tod,诺尔德,nord
特米,tomy,诺茨库,nock
特姆,tom,诺弗,nof
特尔,tol,诺尔德,nold
纳,na,诺恩,non
纳歌,nag,巴,by
纳苏,nas,巴尔古,berg
纳泽,naz,哈尔茨,hert
纳巴,nab,哈尔特,hart
纳尔,nar,巴尔德,bird
尼,ni,哈尔德,hard
尼科,nico,哈艾拉,hael
尼苏,nis,哈艾尔,heal
努,nu,哈茨库,hack
内,ne,哈德,had
内尔,nel,巴摩苏,vamos
内毕,nebi,哈尔特,halt
内罗,nero,巴尔德,bald
诺,no,巴恩,ban
诺罗,nor,帕恩,pan
哈,ha,哈恩,han
巴,ba,毕阿,via
帕,pa,毕尔,vy
哈伊,hay,毕苏,vis
赫,hi,毕茨特,bit
毕,bi,赫摩苏,hymos
皮,pi,皮恩,pin
弗,fu,毕恩,vin
布,vu,弗安尔,far
普,pu,弗安拉,fael
弗安,fa,弗安乌苏,fous
弗伊,fy,弗安苏,fas
弗艾,fey,弗伊尔,fy
弗奥,for,弗伊苏,fis
弗利奥,fleo,弗尔加,fuga
弗莱阿,flea,弗艾苏,fess
弗莱伊,frey,弗奥尔,for
弗莱奥,frea,弗奥恩,fon
赫,he,弗奥尔苏,forse
赫苏,hes,弗奥尔德,ford
帕,pe,弗奥苏,feus
赫尔,hel,弗茨库,hock
博尔,bel,博阿,bear
浩,ho,博苏,beth
保,vo,博茨库,beck
鲍,po,博茨特,bed
玛,ma,赫德,hed
米,mi,博尔库,berk
米西,mis,博尔特,belt
米西艾,mish,保尔,bor
米西亚,misha,浩尔库,hawk
米西尤,mys,浩尔苏,horse
姆,mu,保苏,boss
麦,me,鲍恩,bon
摩,mo,鲍恩德,pond
摩纳,mona,米尔,my
雅,ya,米苏,miss
尤,ju,米阿,mia
优,jo,米茨库,mick
拉,ra,姆,m
拉伊,rai,姆尔,mer
拉伊阿,reia,姆苏,mos
拉伊奥,lio,麦苏,mes
拉查,laz,摩茨库,mock
利,li,摩弗,mof
尔,lu,雅,ya
莱,le,雅苏,yas
莱奥,leo,雅恩,yan
莱巴,leva,尤恩,yun
罗,ro,优恩,yon
罗古,log,拉,ra
罗西,rossi,拉尔加,larg
罗巴,lova,拉尔德,lard
罗博,robe,拉伊苏,rice
瓦,wa,拉伊,ly
瓦古,wag,拉古,lag
瓦伊,wy,拉苏,lass
,,拉茨库,rak
,,拉茨塔,letta
,,拉纳,rana
,,拉弗,raf
,,拉尔库,ralk
,,拉尔德,rald
,,利,li
,,利阿,ria
,,利尔恩,line
,,利尔茨,lite
,,利苏,liss
,,利兹,liz
,,利茨库,rick
,,利茨塔,ritta
,,鲁,rul
,,鲁尔,lur
,,鲁伊恩,ruin
,,鲁特,root
,,鲁苏,loss
,,鲁茨塔,loot
,,莱,ry
,,莱阿,rea
,,莱伊,rey
,,莱尔,ler
,,莱苏,ress
,,莱兹,lez
,,莱茨塔,retta
,,莱尔,rel
,,罗,law
,,罗阿,loa
,,罗伊,roy
,,罗尔,roer
,,罗尔古,lerg
,,罗尔茨,lort
,,罗尔特,rot
,,罗尔德,lord
,,罗古,log
,,罗苏,loth
,,罗兹,loz
,,罗茨库,rock
,,罗茨塔,rotta
,,罗茨特,lot
,,罗纳,rona
,,罗弗,rof
,,罗恩,ron
,,罗恩德,lond
,,瓦尔,wer
,,瓦尔茨,wert
,,瓦尔特,wart
,,瓦尔德,ward
,,恩,won
,,恩加,er
,,恩科,chael
,,恩歌,tony
,,恩索尔,nsor
,,恩达,seth
,,恩纳,nna
,,恩巴,nnba

